ID,Sexo,Idade,TempTrab,FatDecCar,FatDecCarOut,FaseCarreira,CarreiraInvestimento,CarreiraInvestimentoOutro,PlanejCarreira01,PlanejCarreira02,PlanejCarreira03,PlanejCarreira04,PlanejCarreira05,PlanejCarreira06,PlanejCarreira07,PlanejCarreiraoutro,PalavraCarreira,PalavraCarreiraOutro,Mudança,MudançaVezes,EstadoCivil,EstadoCivilOutro,Filhos,QuantosFilhos,Renda,OrientaçãoSexual,OrientaçãoSexualOutro,Escolaridade,ÁreaCurso01,ÁreaCurso02,ÁreaCurso03,ÁreaCurso04,ÁreaCurso05,ÁreaCurso06,ÁreaCurso07,ÁreaCurso08,Curso,IdadeComeçouTrabalhar,Estado,ÁreaTrabalho,ÁreaTrabalhoOutro,Gestor,PensaCarreira,Empresa10anos,TrabalharTemporari,TrabalharTemporariVezes,FatTrabalharTemp01,FatTrabalharTemp02,FatTrabalharTemp03,FatTrabalharTemp04,FatTrabalharTemp05,FatTrabalharTemp06,FatTrabalharTemp07,FatTrabalharTemp08,AEO01,AEO02,AEO03,AEO04,AEO05,AEO06,ACSF01,ACSF02,ACSF03,ACSF04,ACSF05,ACSF06,ACSF07,ACSF08,ACSF09,ACSF10,ACSF11,ACSF12,ACSF13,ACP01,ACP02,ACP03,ACP04,ACP05,ACP06,ACP07,ACP08,ACP09,ACP10,ACP11,ACP12,ACP13,ACP14,PPC01,PPC02,PPC03,PPC04,PPC05,PPC06,PPC07,PPC08,PPC09,PPC10,PPC11,PPC12,PPC13,PPC14,PPC15,PPC16,PPC17,PPC18,PPC19,EEC01,EEC02,EEC03,EEC04,EEC05,EEC06,EEC07,EEC08,EEC09
14,1,30,16,1, ,2,2, ,1, , , ,1,1, , ,1, ,0,1,1, ,1, ,2,1, ,4, ,1, , , , , , ,Enfermagem,16,1, , ,3,2,20,1, , , , , , , , , ,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,5,5,5,5,5,5,5,5,5,1,1,5,1,1,4,4,4,4,3,5,5,3,4,4,5,5,2,4,4.03100775193798,4,5,5,5,4,5,5,4,5,5,5,5,5
1,1,31,18.0271739130435,3,Era o mais próximo ao meu sonho,2,2, , , , , , ,1, , ,1, ,1, ,4, ,2,1,3,1, ,5, ,1, , , , , , ,Enfermagem,19,1,0,Hospital,3,1,1,0,1, , , , , , ,1, ,2,3,3,4,2,3,5,3,3,5,1,2,1,3,3,5,5,5,5,1,5,2,1,3,3,3.46666666666667,5,1,1,1,5,3,5,5,5,2,2,2,5,5,5,1,2,1,1,1,3,5,1,5,5,4,5,3,5,2,3,1,1,3,4
55,2,31,22,5, ,2,1, , , ,1,1,1, , , ,4, ,1, ,4, ,2,2,2,1, ,4, ,1, , , , , , ,Enfermagem,17,1,2, ,3,2,3,1, ,1,1,1,1, ,1, ,1,4,5,3,4,4,3,5,1,5,5,1,2,1,5,5,1,5,1,5,5,5,1,5,1,5,1,5,1,1,1,5,1,5,5,5,5,5,1,5,5,5,5,5,1,5,5,5,1,1,5,5,5,5,3,5,3,5,5,5,5,5
1,1,33,3,1, ,1,2, , , , , , ,1, , ,1, ,0,1,1, ,1,0,5,3, ,8, , , , , , , ,1,Psicologia,30,1,5, ,3,2,2,1, , , , , , , , , ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3.46666666666667,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,2,35,18.0271739130435,5, ,2,3, , ,1,1, , ,1, , ,7, ,1, ,4, ,2,1,5,1, ,7, , , ,1, , , ,1,Ciências Econômicas,20,1,1, ,3,1,1,1, , , , , , , , , ,5,5,4,4,4,5,4,3,2,3,3,3,1,5,3,2,4,4,4,4,5,4,4,5,4,5,4,4,5,5,5,5,5,3,1,4,5,4,5,4,5,3,5,5,5,4,4,5,2,3,5,5,3,3,3,2,5,3,4,1,5
78,2,38,18,6, ,2,2, ,1, , , , , , , ,4, ,1, ,4, ,1, ,4,1, ,6, , , , , , , , , ,18,1,5, ,3,2,3,1, , , , , , , , , ,4,3,3,4,4,3,4,4,4,3,4,4,4,4,4,3,4,3,4,4,3,4,4,4,4,3,4,4,3,4,3,4,4,4,4,4,4,4,4,4,5,4,5,4,5,5,5,4,4,5,4,4,5,5,4,4,4,5,5,4,5
19,2,38.6643109540636,20,6, ,2,6, ,1, , , , , , , ,4, ,1, ,3, ,2,1,5,1, ,4, , , , , , , ,1,Direito.,18,1,2, ,3,2,2,1, , , , , , , , , ,2,5,5,4,3,3,3,2,1,3,4,4,2,3,3,1,3,1,1,4,5,4,5,5,5,4,4,5,3,5,5,5,5,4,5,2,5,4,3,2,3,5,5,4,5,5,5,5,3,4,4,5,2,2,3,3,4,3,4,3,4
2,1,38.6643109540636,18.0271739130435,1, ,3,3, , , , , ,1, , , ,7, ,2, ,1, ,1, ,6,2, ,7, ,1, , , , , , , ,18, ,2, ,3,1,1,2, , ,1, , , , , , ,2,3,2,3,4,5,5,3,5,4,1,2,5,5,1,5,4,5,5,5,5,4,3,2,3,5,4,2,1,5,1,1,1,5,5,5,4,5,5,5,5,5,5,5,5,2,2,3,3,2,4,5,3.95061728395062,5,5,4,5,4,4,4,3
1,1,39,18.0271739130435,3, ,2,2, , , ,1, , ,1, , ,1, ,1, ,4, ,2,2,4,1, ,7, ,1, , , , , , ,Enfermagem,23,1,4, ,3,2,2,1, , , , , , , , , ,5,4,4,5,4,4,5,4,5,5,4,4,5,5,3,1,1,1,4,5,5,4,4,5,4,3.46666666666667,5,5,5,5,5,5,5,3,4,4,2,5,4,5,3,3,5,5,5,3,4,5,1,5,5,2,5,4,4,4,4,4,4,5,4
1,2,41,18,1, ,2,0,Experiências em diversas áreas, , , , , ,1, , ,4, ,1, ,3, ,2,2,6,1, ,6, , , , , , ,1, ,Engenharia,23,1,1, ,3,1,1,1, , , , , , , , , ,5,5,4,5,4,5,5,5,5,5,5,5,5,5,3,4,4,4,4,1,5,4,4,5,4,4,3,4,4,3,5,5,5,5,5,5,3,4,2,2,2,4,4,2,4,3,4,5,4,4,3,3,4,5,5,5,5,5,5,4,5
