"","id","Sexo","AEO01","AEO02","AEO03","AEO04","AEO05","AEO06","ACSF01","ACSF02","ACSF03","ACSF04","ACSF05","ACSF06","ACSF07","ACSF08","ACSF09","ACSF10","ACSF11","ACSF12","ACSF13","ACP01","ACP02","ACP03","ACP04","ACP05","ACP06","ACP07","ACP08","ACP09","ACP10","ACP11","ACP12","ACP13","ACP14","PPC01","PPC02","PPC03","PPC04","PPC05","PPC06","PPC07","PPC08","PPC09","PPC10","PPC11","PPC12","PPC13","PPC14","PPC15","PPC16","PPC17","PPC18","PPC19","EEC01","EEC02","EEC03","EEC04","EEC05","EEC06","EEC07","EEC08","EEC09","AEO","MP","MF","AG","DV","ACP","AUTEN","BALAN","CRESC","EEC"
"12",12,1,5,5,4,4,4,4,4,3.84057971014493,2,2,4,5,3,5,5,1,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,2,1,1,1,2,2,1,2,1,4,4,4,4,2,4,4,4,3.95061728395062,4,4,4,4,4,4,4,5,0.0839577938454881,-0.0508615839318695,0.214738746530646,1.38672156579444,0.829585232215433,1.50793358519652,-1.01819387529887,-1.00797844195666,-1.15377288375788,0.0493882850152937
"13",13,2,3,5,5,5,5,5,5,1,1,1,1,2,1,1,1,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,3,3,3,3,0.577193898442979,-1.68693371474656,1.39894291435791,1.38672156579444,0.829585232215433,1.50793358519652,1.00108379701211,1.09421336895779,1.31610329137554,-0.910671908955584
"14",14,1,4,4,5,5,4,4,5,5,5,4,4,5,5,5,4,4,5,4,2,5,4,2,2,2,4,3,3,4,3,2,2,3,2,5,5,4,2,4,4,5,5,5,5,5,5,1,5,5,3,5,5,4,5,5,5,5,5,5,5,5,5,0.108739840249553,0.549576496717252,0.498461507114239,-1.07999740885691,-0.458257624246209,-1.07653657699245,0.401301451191849,0.414255341792716,0.485170489219473,1.47971814783646
"15",15,2,4,4,4,5,5,4,4,4,5,4,3,3,1,1,5,4,5,5,5,3,5,1,3,4,5,3.46666666666667,3,4,4,4,5,5,5,1,5,5,2,2,5,5,2,1,1,2,1,5,5,3,1,2,5,1,5,5,3,1,5,1,1,5,5,0.0465104950639539,-0.398641795543343,1.10264199157931,-0.321637726263233,0.0500361406363219,-0.228854354108246,-0.892624567729475,-0.632200152339235,-0.857404197135213,-0.25382382963777
"16",16,2,4,2,3,4,2,4,5,5,5,5,5,5,3,5,3,4,5,5,5,2,5,3,3,5,5,4,3,4,4,4,5,5,2,5,5,3,3,3,5,5,5,5,5,2,2,5,4,5,1,5,5,5,4,2,4,5,5,1,1,4,5,-0.639020647405414,0.900381886586331,1.07187730808918,0.162118144225035,0.108497163499172,0.280558723795066,0.324227423102659,0.30321687252065,0.152127215201095,-0.276682685358049
"17",17,1,5,4,4,5,4,4,3,1,1,1,5,5,1,5,1,1,1,5,5,5,5,3,5,5,5,3.46666666666667,5,3,4,4,5,5,5,5,5,5,5,5,5,5,5,4,5,4,4,4,5,5,4,5,5,4,5,4,4,5,5,5,3,1,5,0.0569790412709345,-0.15384452924593,0.100636286978872,0.468632712722246,0.141388348740475,0.49766630634789,0.509734525944253,0.692600943412165,0.485080991634446,0.311961688226334
"18",18,1,4,4,4,4,5,4,4,5,5,5,5,5,2,3,1,1,1,1,1,3,4,4,5,4,2,2,4,2,4,4,5,2,5,5,5,3,2,3,4,5,2,2,4,1,1,4,2,1,1,5,3,3,3,4,4,3,4,1,2,3,5,-0.0828818602833048,0.656202127240235,-1.23156274100331,-0.630016262392308,-0.222338877608036,-0.682699271867699,-0.408138881958692,-0.957495550143326,-0.953619075117075,-0.56808678475636
"19",19,1,5,5,5,5,4,5,5,5,5,5,5,5,1,5,1,1,1,1,1,5,4,4,4,4,4,2,5,3,3,3,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,0.760525431920095,0.837462938026909,-1.23743596705825,-0.623096700569501,-0.238144371110609,-0.560910735087157,0.602850483876302,0.909416678893591,1.01627024147689,1.05263845456614
"20",20,2,5,3,5,5,4,3,5,5,1,5,5,2,1,5,5,1,1,1,1,5,5,5,5,5,5,1,1,1,5,5,1,1,5,5,5,4,5,3,5,5,5,5,5,4,5,3,5,5,1,2,5,5,5,4,4,4,5,3,5,5,5,-0.0394640175908614,-0.143030084092854,-1.20597653416026,0.343786793103057,-0.120490590562171,0.0776930979580769,0.327879791078986,0.6437697197639,0.52321680254346,0.388640859662144
"21",21,1,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,5,5,5,5,5,5,5,5,5,1,1,5,1,1,4,4,4,4,3,5,5,3,4,4,5,5,2,4,4.03100775193798,4,5,5,5,4,5,5,4,5,5,5,5,5,0.725630643242727,1.22907677762974,-0.594855861251253,1.00568584098498,0.287094554610296,0.711195009938959,-0.105568365306143,0.0439945712996256,-0.0166353785719342,0.772192354347549
"22",22,1,2,3,3,4,2,3,5,3,3,5,1,2,1,3,3,5,5,5,5,1,5,2,1,3,3,3.46666666666667,5,1,1,1,5,3,5,5,5,2,2,2,5,5,5,1,2,1,1,1,3,5,1,5,5,4,5,3,5,2,3,1,1,3,4,-0.85736082132982,-0.742692380285966,1.36882999604798,-1.01582902573018,-0.626118470778462,-1.08282404657728,-0.512775150818064,-0.127986961002719,-1.1923324707317,-0.589278810356152
"23",23,2,4,5,3,4,4,3,5,1,5,5,1,2,1,5,5,1,5,1,5,5,5,1,5,1,5,1,5,1,1,1,5,1,5,5,5,5,5,1,5,5,5,5,5,1,5,5,5,1,1,5,5,5,5,3,5,3,5,5,5,5,5,-0.365746825631266,-0.355887032865891,0.0131870666211985,-0.780044970838911,-0.55583436727994,-0.965192862505099,0.408938138977536,0.075078603337557,0.7807894061199,0.307177029465628
"24",24,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3.46666666666667,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0.982071789246646,1.16711298166597,1.30986443697008,0.971166646465922,0.694895135919912,1.09626226025095,1.00108379701211,1.09421336895779,1.31610329137554,1.47971814783646
"25",25,2,5,5,4,4,4,5,4,3,2,3,3,3,1,5,3,2,4,4,4,4,5,4,4,5,4,5,4,4,5,5,5,5,5,3,1,4,5,4,5,4,5,3,5,5,5,4,4,5,2,3,5,5,3,3,3,2,5,3,4,1,5,0.321463588902469,-0.535993174881181,0.323372484634826,0.246235832546064,0.315633901319846,0.356329957700529,-0.0819157324333157,0.55764159141746,-0.0738219818725034,-0.720962121115652
"26",26,2,4,3,3,4,4,3,4,4,4,3,4,4,4,4,4,3,4,3,4,4,3,4,4,4,4,3,4,4,3,4,3,4,4,4,4,4,4,4,4,4,5,4,5,4,5,5,5,4,4,5,4,4,5,5,4,4,4,5,5,4,5,-0.595008744299171,-0.118073796221418,0.293267829223583,-0.652671074174753,-0.187942614066639,-0.605204860814359,0.0539464610863789,0.0540556993403838,0.234837071669278,0.574430150879144
"27",27,2,2,5,5,4,3,3,3,2,1,3,4,4,2,3,3,1,3,1,1,4,5,4,5,5,5,4,4,5,3,5,5,5,5,4,5,2,5,4,3,2,3,5,5,4,5,5,5,5,3,4,4,5,2,2,3,3,4,3,4,3,4,-0.274471228424019,-0.440985966239664,-0.762693261548195,0.91557027752999,0.677126448842577,1.04685805618427,0.108572746271397,-0.0193277152777967,0.273321371933972,-0.856805555401404
"28",28,1,2,3,2,3,4,5,5,3,5,4,1,2,5,5,1,5,4,5,5,5,5,4,3,2,3,5,4,2,1,5,1,1,1,5,5,5,4,5,5,5,5,5,5,5,5,2,2,3,3,2,4,5,3.95061728395062,5,5,4,5,4,4,4,3,-0.588780859758005,-0.275741163250465,0.984687282325213,-0.743106738572658,-0.422566944282321,-0.817900450912406,0.325030063494626,0.203814421615139,0.328853874869459,0.197063514144933
"29",29,1,5,4,4,5,4,4,5,4,5,5,4,4,5,5,3,1,1,1,4,5,5,4,4,5,4,3.46666666666667,5,5,5,5,5,5,5,3,4,4,2,5,4,5,3,3,5,5,5,3,4,5,1,5,5,2,5,4,4,4,4,4,4,5,4,0.0569790412709345,0.467174438553867,-0.754774177611556,0.141627963208208,0.433858295076814,0.272014191724947,-0.015593293273123,-0.0417867502342772,-0.138461825781382,0.22917261699946
"30",30,2,5,5,4,5,4,5,5,5,5,5,5,5,5,5,3,4,4,4,4,1,5,4,4,5,4,4,3,4,4,3,5,5,5,5,5,5,3,4,2,2,2,4,4,2,4,3,4,5,4,4,3,3,4,5,5,5,5,5,5,4,5,0.491287474942715,1.19432363900341,0.460613698558734,0.0791500452764366,0.079299593538903,0.138628494765942,-0.269541762886448,-0.496088097819259,-0.118903479391379,0.906345173709727
"31",31,1,4,4,4,5,5,5,3,3,1,4,4,4,5,5,4,1,1,1,1,5,5,5,5,5,5,3.46666666666667,3,5,3,5,3,5,5,1,3,4,1,3,1,1,4,1,4,4,4,4,4,4,2,4,4,2,5,5,5,5,5,5,3,5,5,0.280423402052858,-0.0267110412471426,-1.20969444511993,0.866846861102161,0.515063736946405,0.947705495498358,-0.71609142679288,-0.609751434964984,-0.825259275534405,1.07338525317316
"32",32,1,4,3,3,5,4,5,5,5,5,5,5,5,1,5,3,4,4,5,5,5,5,4,4,5,4,4,5,4,3,4,2,4,5,5,5,4,4,4,5,5,3,4,5,5,4,3,4,5,4,5,5,4,5,5,5,4,4,5,5,4,4,-0.139808920821327,0.787467371107904,0.801977409769111,0.0609278520557504,0.0259123680577982,0.0426612614188235,0.254568845051443,0.219479161438562,0.0614134531274074,0.63778417347108
"33",33,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3.95061728395062,3.99601593625498,4.17391304347826,3.97637795275591,4.05905511811024,3.43478260869565,3.62549800796813,3.4703557312253,3.78346456692913,0.982071789246646,1.16711298166597,1.30986443697008,1.38672156579444,0.829585232215433,1.50793358519652,-0.300607352558443,-0.225638379066644,-0.189696099514451,-0.294309109579026
"34",34,1,5,5,5,5,1,5,5,5,5,1,1,5,1,5,5,1,5,1,1,5,5,5,5,5,5,5,1,1,5,5,5,5,5,5,1,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0.461721974500485,-0.343625835980908,-0.394363979937018,0.975872993926911,0.239579293842479,0.9619240113719,0.48113446817042,0.583167564359777,0.893079820231515,1.47971814783646
"35",35,2,3,4,2,1,4,4,5,5,1,1,5,2,1,5,1,1,5,1,1,5,5,1,5,5,5,5,1,1,3,3,3,5,1,5,4,4,5,5,5,5,5,5,5,2,5,5,2,3,1,3,3,5,2,1,3,1,5,4,1,1,1,-0.723939072602954,-0.601855809581857,-0.389234155994184,0.345734837448336,-0.342940545538243,0.3267662239031,0.187785853465863,0.000661508772225001,0.193744236880664,-1.49144403508443
"36",36,2,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,1,4,5,2,5,4,5,5,3,5,3,5,5,5,5,4,3,3,5,5,5,5,5,1,5,5,5,5,5,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0.982071789246646,0.872004795659118,0.216468076286789,-0.248698289856758,0.139584709194592,-0.235493469031361,0.431990210723002,0.469515323462577,-0.000996316125840482,1.47971814783646
"37",37,2,4,4,5,5,4,4,2,1,5,1,1,5,2,2,1,5,2,4,1,1,5,3,1,5,1,3.46666666666667,5,1,5,2,5,2,1,3,2,2,4,2,2,4,2,3,5,4,4,3,3,3,3,3,4,4,3,3,2,3,4,2,3,4,4,0.108739840249553,-0.460274834509387,0.109697818229084,-0.70435903747874,-0.563948793870983,-0.758926858807364,-0.457216024126418,-0.552206256166422,-0.718777339562135,-0.790321595442055
"38",38,1,4,5,5,5,5,4,5,1,1,1,5,5,5,5,1,1,1,1,1,5,5,1,5,5,1,1,1,1,1,1,1,1,5,1,5,5,5,3.94117647058824,5,5,3,2,5,5,5,1,5,2,1,5,5,5,3,3,5,5,5,5,5,1,5,0.420494892813178,0.114986600628174,-1.21418356906326,-0.588488085384765,-0.671488312580042,-0.79749038255353,0.130603689090811,-0.0201642650177586,-0.0127686027051785,0.0888465029430238
"39",39,1,4,5,4,5,4,4,5,5,3,5,1,2,5,5,5,1,5,5,1,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0.0793640691340916,-0.344630639618068,0.316264607187919,1.38672156579444,0.829585232215433,1.50793358519652,0.799986610477534,0.859852302531054,1.1398178276221,1.47971814783646
"40",40,1,2,5,3,5,5,5,5,1,1,1,1,2,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,4,5,5,5,5,4,5,5,5,5,4,5,4,5,4,2,4,5,5,5,5,5,5,5,4,5,1,5,0.0874161076284254,-0.993446274526934,0.46303184915855,1.09579608321892,0.424889146749697,0.829026304308781,0.496782859763473,0.404255349552195,0.818860441960486,0.799358718301524
"41",41,1,4,4,2,4,5,5,5,1,1,1,1,2,3,5,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,1,1,3,1,2,1,1,1,1,-0.149789821175614,-1.11244088114325,-1.17561302054416,1.38672156579444,0.829585232215433,1.50793358519652,0.729223461811816,0.966208870300905,1.10768517747153,-2.08911781828939
