"","AEO","MP","MF","AG","DV","AUTEN","BALAN","CRESC","EEC"
"1",-0.164643177075754,-0.0165393454497311,-0.0326243062731193,-0.375077542479224,-0.185679001774186,-0.423852974510676,-0.497986550397999,-0.958635722892307,-0.975554327257273
"2",-0.0803764189847143,0.789615456396581,0.0378131464613123,-0.196056812955474,0.301721857979754,-0.622713595542206,-0.684904488341804,-1.26320244773513,-1.13455092825114
"3",-0.2929458357891,-1.00109518763714,-0.838470720428147,-0.515223337578088,-0.411775574338207,-0.178655087597927,-0.0381807176155379,-0.00489497224855213,1.22635488560055
"4",0.459870320537518,0.731670284987377,-0.20441200127529,-0.247450978324677,-0.221969437954754,0.217479390384132,0.13226382280192,0.279433282570203,1.03733723277476
"5",0.468387866924443,0.587176146597864,-0.351964013683669,0.112008696205514,-0.1486203741022,-0.349363167591252,0.444422726260198,-0.148344850331522,0.0580868258877972
"6",0.0459437724957602,-0.405237003797277,1.10448397863862,-0.287456002748105,0.0367760893278799,-0.906957504662495,-0.604712453488387,-0.853703373922412,-0.310867253983639
"7",-0.653960007321141,0.906420287744071,1.07367673492769,0.163563324192975,0.094876917892504,0.334920489529356,0.297275767007502,0.121156521292108,-0.283943684164048
"8",0.0772683956431071,-0.152635483371023,0.101252840036231,0.459162197208532,0.152842603884959,0.556194747191459,0.675480019913196,0.487783195840554,0.329068479176115
"9",-0.0812323856314176,0.634401278286718,-1.23288834018175,-0.565429116707053,-0.223310704676948,-0.374543549039771,-0.900221614770607,-0.959741011954209,-0.591469817942869
"10",0.7945846801391,0.8199112277185,-1.23881287399551,-0.498500932058906,-0.180263711226198,0.651258568329057,0.892057541912605,1.05887456389306,1.03733723277476
"11",-0.881430900862194,-0.721658087748963,1.37042000678272,-1.02748810133481,-0.612059174589663,-0.482102577475187,-0.116833140151807,-1.21227655493959,-0.573940476105833
"12",1.00926747909532,1.15295462519703,1.31297498214145,0.941698436453521,0.667672489863498,1.03047672941388,1.06127939821056,1.32573124288231,1.4835373091644
"13",0.347774904595135,-0.51575492629334,0.323789915607815,0.317154991048518,0.320785044472361,-0.104115809804271,0.519611353884633,-0.0826870322487094,-0.750055380496093
"14",0.0772683956431071,0.467448407340611,-0.760850055758683,0.191584864071892,0.424451238503438,0.00371745954500214,-0.0195216112403962,-0.130477577232045,0.161785183100387
"15",0.514827843956658,1.17924538209873,0.462128807070374,0.143647743369894,0.102085681592486,-0.260327583777838,-0.478040690014527,-0.134857897187067,0.883869387548103
"16",0.277154982491874,-0.0299635308764466,-1.21175768731699,0.832319909344044,0.492715932510622,-0.722479040383898,-0.536571313503951,-0.818109670302684,1.08594921415487
"17",0.121895985136939,-0.435584785385826,0.113024609754444,-0.733562631748793,-0.554864363693162,-0.469468252211174,-0.537933225902646,-0.708048023558711,-0.854447636148401
"18",-0.14206681865333,-1.07950821579124,-1.17902440090185,1.37987806425066,0.81400179156019,0.771090276173634,0.943715670332291,1.14009165042303,-2.04641150404835
"19",1.00926747909532,0.101203071365693,0.0310726330894902,-0.329090216183207,-0.074466707665929,-0.281527388462185,-0.490105574283377,-0.0710084302636176,-0.236503034954969
"20",-0.0527903069583384,-0.557198359459304,0.430529937043867,0.341213932482848,0.0576039957396159,-0.516603651700814,-0.368075392034955,-0.694784143746866,-0.3768670391761
"21",-1.17196336048205,-1.63575194358271,0.356392892559849,-1.1223040193309,-0.690703017400188,-0.661623480278999,-0.49872425912812,-0.864058881478973,-1.32204909115241
"22",0.0162081224205594,-0.34199277625112,-1.20195114172932,0.81891083401668,0.470581363014737,-0.47508542761696,-0.0282343085609455,-0.515969540840544,0.164373509125689
"23",0.679389794368478,0.453651267321098,0.0749517277426628,-0.0671998865089122,-0.0342441361583552,0.0661765030149125,0.288406199144541,0.515603391415936,0.908656704923016
"24",-1.14216569893887,-0.406650468968933,-0.851670334326945,-0.889887531692982,-0.0780626032790232,0.376946295556344,0.577913629398899,0.165072424980009,0.0402094143367981
"25",1.00926747909532,0.679221404211038,1.3270990210878,-0.857237437782422,-0.559497671594758,0.141377478424998,-0.25630233117119,0.508902243302025,0.812650016567447
"26",0.347774904595135,0.11917848200311,-1.21646819599371,-0.393893549830644,-0.0533930673868304,0.0392416264375421,0.260060978560595,0.199869833749456,-0.0808939850817298
"27",-0.270713171184476,0.00148141535776986,0.0272642780950678,-0.60377578879546,0.0483368987689248,-0.309676013257338,-0.328230957367951,-0.433350743530366,0.116847111881115
"28",0.459870320537518,0.0613845160245285,0.791293896288249,-0.980241417688252,-0.554842958485868,-0.952207029035478,-0.631951973365069,-0.731733619013507,-0.372789070993934
"29",0.124879416799246,0.00689836427812825,-0.171774248811288,-0.629849005000166,0.0406667720854906,0.0274739470669418,0.0745907187230729,0.0805676799080999,-0.143782557497807
"30",-0.459333200908778,1.02910377651799,-0.68489653985581,-0.645004648772408,-0.375612668192634,-0.211033513284167,0.279401515797358,-0.215547377149377,0.846131758486778
"31",0.314927718073309,1.0231920016277,-0.463448907450433,1.37987806425066,0.81400179156019,0.493358671742673,0.224048326310259,0.860502795813669,0.489056262418876
"32",0.208268336046612,-0.481347018862463,-0.392839370602276,0.340323506265887,0.472057791622642,-0.119407885995666,-0.0963265732382038,-0.462147219520392,0.000636582847638434
"33",-0.342042545013988,0.553977028127517,0.280118594206526,-0.580358100690915,-0.2051983353591,0.293792810350087,-0.0934839527734047,0.115293305926109,-0.541119833040307
"34",-0.372180687414211,-0.780408219676661,-0.677279216707932,-0.666979310180423,-0.252100360470145,0.222609764858879,-0.0132785964250078,-0.0754918080927788,-1.3906744434896
