"","id","Sexo","AEO01","AEO02","AEO03","AEO04","AEO05","AEO06","ACSF01","ACSF02","ACSF03","ACSF04","ACSF05","ACSF06","ACSF07","ACSF08","ACSF09","ACSF10","ACSF11","ACSF12","ACSF13","ACP01","ACP02","ACP03","ACP04","ACP05","ACP06","ACP07","ACP08","ACP09","ACP10","ACP11","ACP12","ACP13","ACP14","PPC01","PPC02","PPC03","PPC04","PPC05","PPC06","PPC07","PPC08","PPC09","PPC10","PPC11","PPC12","PPC13","PPC14","PPC15","PPC16","PPC17","PPC18","PPC19","EEC01","EEC02","EEC03","EEC04","EEC05","EEC06","EEC07","EEC08","EEC09"
"208",208,2,3,5,5,5,5,5,5,1,1,1,1,2,1,1,1,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,3,3,3,3
"209",209,1,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,5,5,5,5,5,5,5,5,5,1,1,5,1,1,4,4,4,4,3,5,5,3,4,4,5,5,2,4,4,4,5,5,5,4,5,5,4,5,5,5,5,5
"210",210,1,5,5,5,5,3,4,5,5,1,3,3,3,1,5,5,1,4,3,5,5,3,3,5,4,5,4,5,5,4,5,1,3,1,5,5,5,3,5,5,5,5,4,5,3,4,1,5,5,3,4,3,5,5,5,5,5,5,5,3,5,5
"211",211,1,4,5,1,4,4,3,4,3,2,1,2,3,2,4,2,3,4,4,4,1,4,3,4,4,4,1,1,1,3,3,1,3,4,2,4,4,4,3,4,3,2,2,4,1,4,1,2,2,4,2,2,4,2,2,2,2,1,1,2,2,2
"212",212,1,4,5,5,5,5,4,5,1,1,1,5,5,5,5,1,1,1,1,1,5,5,1,5,5,1,1,1,1,1,1,1,1,5,1,5,5,5,4,5,5,3,2,5,5,5,1,5,2,1,5,5,5,3,3,5,5,5,5,5,1,5
"213",213,1,4,5,4,5,4,4,5,5,3,5,1,2,5,5,5,1,5,5,1,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"214",214,1,2,2,1,5,4,4,5,5,1,1,5,5,1,5,5,5,5,1,1,1,5,1,5,5,5,5,5,1,1,1,1,5,1,5,5,5,2,5,2,5,5,5,5,2,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5
"215",215,1,5,5,5,5,5,5,4,4,2,4,4,5,5,5,5,4,4,4,4,5,5,5,5,5,5,4,4,3,3,3,1,3,4,3,2,5,4,3,4,4,3,4,5,5,5,3,5,5,4,3,5,4,5,5,5,5,5,5,5,5,5
"216",216,2,5,4,4,4,2,4,5,1,1,5,1,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,5,5,5,5,5,5,5,5,5,5,4,5,1,5,3,4,5,3,5,5,5,5,4,5,5,5,2,3,1,4
"217",217,1,4,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,4,5,3,5,5,5,3,3,5,4,5,3,5,5,4,5,5,2,3,2,2,4,4,5,4,4
"218",218,1,4,4,5,5,5,5,5,5,5,5,4,5,5,5,5,5,4,4,1,5,5,4,5,5,5,3,1,3,5,5,1,5,5,5,5,5,5,3,4,5,5,5,5,4,5,5,5,5,1,4,4,5,4,4,5,5,4,4,5,5,5
"219",219,1,4,4,4,5,3,5,5,5,5,5,5,5,5,5,5,1,5,1,5,5,5,1,5,5,5,1,1,1,5,5,5,1,5,3,5,5,2,5,4,4,5,3,2,4,4,4,2,4,1,2,4,3,5,3,5,5,5,5,5,5,2
"220",220,1,5,5,4,4,4,4,4,4,2,2,4,5,3,5,5,1,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,2,1,1,1,2,2,1,2,1,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,5
