"","id","Sexo","AEO01","AEO02","AEO03","AEO04","AEO05","AEO06","ACSF01","ACSF02","ACSF03","ACSF04","ACSF05","ACSF06","ACSF07","ACSF08","ACSF09","ACSF10","ACSF11","ACSF12","ACSF13","ACP01","ACP02","ACP03","ACP04","ACP05","ACP06","ACP07","ACP08","ACP09","ACP10","ACP11","ACP12","ACP13","ACP14","PPC01","PPC02","PPC03","PPC04","PPC05","PPC06","PPC07","PPC08","PPC09","PPC10","PPC11","PPC12","PPC13","PPC14","PPC15","PPC16","PPC17","PPC18","PPC19","EEC01","EEC02","EEC03","EEC04","EEC05","EEC06","EEC07","EEC08","EEC09","AEO","MP","MF","ACSF","AG","DV","ACP","AUTEN","BALAN","CRESC","EEC","ACSF_MP","ACSF_MF","ACP_total","ACP_AG","ACP_DV","PPC_total","PPC_AUTEN","PPC_BALAN","PPC_CRESC","EEC_total"
"11",11,1,2,3,3,4,2,3,5,3,3,5,1,2,1,3,3,5,5,5,5,1,5,2,1,3,3,3,5,1,1,1,5,3,5,5,5,2,2,2,5,5,5,1,2,1,1,1,3,5,1,5,5,4,5,3,5,2,3,1,1,3,4,-0.881430900862194,-0.721658087748963,1.37042000678272,-1.11576918893376,-1.02748810133481,-0.612059174589663,-1.09402389396291,-0.482102577475187,-0.116833140151807,-1.21227655493959,-0.573940476105833,3,5,4,4,3,4.66666666666667,4,3.83333333333333,1.8,4.5
"12",12,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1.00926747909532,1.15295462519703,1.31297498214145,0.0684305351268091,0.941698436453521,0.667672489863498,1.0593106619265,1.03047672941388,1.06127939821056,1.32573124288231,1.4835373091644,5,5,5,4,5,5,5,5,5,5
"13",13,2,5,5,4,4,4,5,4,3,2,3,3,3,1,5,3,2,4,4,4,4,5,4,4,5,4,5,4,4,5,5,5,5,5,3,1,4,5,4,5,4,5,3,5,5,5,4,4,5,2,3,5,5,3,3,3,2,5,3,4,1,5,0.347774904595135,-0.51575492629334,0.323789915607815,-0.456722711637112,0.317154991048518,0.320785044472361,0.41800096505221,-0.104115809804271,0.519611353884633,-0.0826870322487094,-0.750055380496093,3.5,3,5,5,4.75,4,3.57142857142857,5,4,4
"14",14,1,5,4,4,5,4,4,5,4,5,5,4,4,5,5,3,1,1,1,4,5,5,4,4,5,4,3,5,5,5,5,5,5,5,3,4,4,2,5,4,5,3,3,5,5,5,3,4,5,1,5,5,2,5,4,4,4,4,4,4,5,4,0.0772683956431071,0.467448407340611,-0.760850055758683,0.617107554608199,0.191584864071892,0.424451238503438,0.313818087536911,0.00371745954500214,-0.0195216112403962,-0.130477577232045,0.161785183100387,5,2.5,5,4,5,3.71428571428571,4.14285714285714,4,4,4.5
"15",15,2,5,5,4,5,4,5,5,5,5,5,5,5,5,5,3,4,4,4,4,1,5,4,4,5,4,4,3,4,4,3,5,5,5,5,5,5,3,4,2,2,2,4,4,2,4,3,4,5,4,4,3,3,4,5,5,5,5,5,5,4,5,0.514827843956658,1.17924538209873,0.462128807070374,0.370630454314359,0.143647743369894,0.102085681592486,0.195552555422667,-0.260327583777838,-0.478040690014527,-0.134857897187067,0.883869387548103,5,4,5,4.5,4.25,4,3.85714285714286,2.83333333333333,4.33333333333333,4.5
"16",16,1,4,4,4,5,5,5,3,3,1,4,4,4,5,5,4,1,1,1,1,5,5,5,5,5,5,3,3,5,3,5,3,5,5,1,3,4,1,3,1,1,4,1,4,4,4,4,4,4,2,4,4,2,5,5,5,5,5,5,3,5,5,0.277154982491874,-0.0299635308764466,-1.21175768731699,0.455833350805655,0.832319909344044,0.492715932510622,0.907418500967324,-0.722479040383898,-0.536571313503951,-0.818109670302684,1.08594921415487,3,1,5,4,4.5,2.71428571428571,2.57142857142857,3,3,5
"17",17,2,4,4,5,5,4,4,2,1,5,1,1,5,2,2,1,5,2,4,1,1,5,3,1,5,1,3,5,1,5,2,5,2,1,3,2,2,4,2,2,4,2,3,5,4,4,3,3,3,3,3,4,4,3,3,2,3,4,2,3,4,4,0.121895985136939,-0.435584785385826,0.113024609754444,-0.286926794181974,-0.733562631748793,-0.554864363693162,-0.784678873438945,-0.469468252211174,-0.537933225902646,-0.708048023558711,-0.854447636148401,3.5,3,3.5,4,2.25,3.33333333333333,3.28571428571429,3.16666666666667,3,3.5
"18",18,1,4,4,2,4,5,5,5,1,1,1,1,2,3,5,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,1,1,3,1,2,1,1,1,1,-0.14206681865333,-1.07950821579124,-1.17902440090185,-0.187889447540675,1.37987806425066,0.81400179156019,1.49303352563481,0.771090276173634,0.943715670332291,1.14009165042303,-2.04641150404835,3,1,5,5,5,5,4.85714285714286,5,5,1
"19",19,1,5,5,5,5,5,5,5,4,4,4,4,4,4,5,1,3,3,3,3,4,4,4,4,4,4,4,4,3,4,4,5,5,5,5,4,5,2,5,3,3,4,4,4,3,4,5,4,3,2,3,2,3,4,4,4,4,4,4,4,1,4,1.00926747909532,0.101203071365693,0.0310726330894902,0.0614000995929746,-0.329090216183207,-0.074466707665929,-0.261636704351507,-0.281527388462185,-0.490105574283377,-0.0710084302636176,-0.236503034954969,4.5,3,4.5,4,4.25,3.75,3.85714285714286,2.83333333333333,4.33333333333333,4
"20",20,1,5,4,4,4,4,4,3,3,1,1,2,5,4,3,4,4,5,3,3,5,5,5,4,5,5,3,2,3,4,4,5,2,3,2,4,3,2,4,5,3,3,2,4,5,4,2,4,4,4,2,3,4,4,4,4,4,3,3,3,2,4,-0.0527903069583384,-0.557198359459304,0.430529937043867,-0.556947925344329,0.341213932482848,0.0576039957396159,0.226638023424595,-0.516603651700814,-0.368075392034955,-0.694784143746866,-0.3768670391761,2,3.5,3.5,4,3.75,3,3.28571428571429,3.66666666666667,3,4
